Epic,Story,Task,Description,Acceptance Criteria,Phase,Week,Priority,Story Points,Status,Assignee,Labels
Foundation,File Upload,Implement File Upload to Supabase Storage,"Upload files to Supabase storage bucket with user-scoped paths",Files stored at user_id/{contract_id}/{filename}; file size validated; upload progress tracked,Phase 1,2,High,5,Not Started,,backend
Foundation,File Upload,Create Upload Progress Component,"Display upload progress and status feedback to user","Progress bar shows % complete; loading state shown; success/error messages displayed; user can retry on failure",Phase 1,2,Medium,3,Not Started,,frontend
Foundation,Extraction Preview,Build Extraction Preview Component,"Display Claude-extracted payment terms in a clean, readable format","Shows: payment method, amounts, dates, retainage %, lien waiver terms; terms are editable; preview refreshes on edit",Phase 1,2,High,5,Not Started,,frontend
Foundation,Extraction Preview,Implement Preview State Management,"Manage extraction state and sync edits back to database",Edits saved to contract record; preview shows latest data; changes persist across page refreshes,Phase 1,2,Medium,3,Not Started,,frontend
Foundation,Auth Gate,Implement Signup Gate,"Users can upload and see extraction preview without signing up; must register to see full results",Unauth users upload → see preview; CTA in preview to "View Full Results"; clicking CTA requires signup,Phase 1,2,High,5,Not Started,,product
Foundation,Auth Gate,Create Signup Prompt Modal,"Clean modal that prompts signup at the right moment (after preview, before results)","Modal appears after preview loaded; explains value of full results; login/signup forms in modal; dismissible",Phase 1,2,Medium,3,Not Started,,frontend
Payment Schedule Engine,Schedule Calculation,Build Schedule Calculator,"Implement logic to auto-generate payment schedules from extracted contract terms","Calculates progress draws, retainage holds, release conditions; handles milestone-based and time-based draws",Phase 2,3,High,8,Not Started,,backend
Payment Schedule Engine,Schedule Calculation,Handle Retainage Release Logic,"Implement retainage release tied to substantial completion, lien waiver receipt, or time triggers","Retainage released on: (a) substantial completion, (b) final lien waiver, (c) time threshold; logic configurable",Phase 2,3,High,5,Not Started,,backend
Payment Schedule Engine,Schedule Calculation,Implement Stored Materials Tracking,"Add logic to track stored materials and incorporate into payment schedule if contract allows",Stored materials identified; added to schedule if contract permits; flagged for compliance review if ambiguous,Phase 2,3,Medium,3,Not Started,,backend
Payment Schedule Engine,Schedule Visualization,Build Timeline Component,"Create visual timeline showing payment draws, milestones, retainage holds, and release events","Timeline shows: draw dates, amounts, milestones, retainage release date; clickable for detail view; responsive",Phase 2,3,High,5,Not Started,,frontend
Payment Schedule Engine,Schedule Visualization,Create Milestone Editor,"UI to edit extracted milestones (dates, % completion, names)","Milestone list editable inline; add/remove milestones; validation (dates in order, % totals 100%)",Phase 2,4,Medium,5,Not Started,,frontend
Payment Schedule Engine,Schedule of Values,Build Schedule of Values Editor,"Component to view and edit extracted payment amounts per milestone/phase","Shows: phase, amount, % of total, notes; editable; totals recalculate; changes flow to schedule calculation",Phase 2,4,High,5,Not Started,,frontend
Payment Schedule Engine,Excel Export,Implement Excel Export via xlsx,"Generate .xlsx file with payment schedule (draws, dates, amounts, retainage)","File downloads with: schedule table, summary page, assumptions; formatting clean; file named by contract",Phase 2,4,High,5,Not Started,,backend
Payment Schedule Engine,PDF Export,Implement PDF Export,"Generate PDF with payment schedule, timeline, terms summary, formatted for printing/sharing","PDF includes: title, contract summary, payment schedule table, timeline graphic, footer with date/user",Phase 2,4,High,5,Not Started,,backend
Payment Schedule Engine,Schedule Comparison,Build Original vs. Simplified View,"Side-by-side view: extracted contract terms vs. simplified payment schedule","Shows: original contract excerpt, simplified schedule; highlights mapping; lets user reconcile differences",Phase 2,4,Medium,3,Not Started,,frontend
Compliance & Risk,Risk Detection Engine,Build Pay-When-Paid / Pay-If-Paid Detector,"Implement logic to identify and flag pay-when-paid and pay-if-paid clauses","Detects: pay-when-paid language; pay-if-paid language; flags severity (high/medium); explains impact",Phase 3,5,High,5,Not Started,,backend
Compliance & Risk,Risk Detection Engine,Build Retainage Risk Detector,"Identify non-standard retainage triggers or release conditions that create risk",Flags: non-standard retainage %; unusual release conditions; missing substantial completion link; explanations clear,Phase 3,5,High,5,Not Started,,backend
Compliance & Risk,Risk Detection Engine,Build Lien Waiver Risk Detector,"Identify lien waiver requirements and timing that create payment or compliance risk","Detects: unconditional waiver demands; timing conflicts; partial waiver ambiguity; flags for review",Phase 3,5,High,3,Not Started,,backend
Compliance & Risk,State Compliance,Implement State Prompt Payment Act Checker,"Check contract terms against 50+ state prompt payment laws; flag violations","Detects: state from contract; checks against state prompt payment act; flags missing protections; explains law",Phase 3,5,High,8,Not Started,,backend
Compliance & Risk,State Compliance,Build State Law Reference Database,"Curate and structure state prompt payment law data (timeframes, exceptions, lien requirements)","Database includes: all 50 states + territories; key dates/thresholds; exemptions; updated as laws change",Phase 3,5,Medium,5,Not Started,,data
Compliance & Risk,Risk Dashboard,Design Risk Dashboard UI,"Create high/medium/low severity risk display with explanations and mitigation steps","Dashboard shows: risk count by severity; detail cards with explanation + mitigation; search/filter by type",Phase 3,6,High,5,Not Started,,frontend
Compliance & Risk,Risk Dashboard,Implement Risk Scoring,"Calculate overall contract risk score based on detected flags; recommend mitigation actions",Score calculated from flag severity/count; recommendations tailored to specific risks; score updates as contract changes,Phase 3,6,Medium,5,Not Started,,backend
Compliance & Risk,Lien Waiver Tracking,Build Lien Waiver Tracker,"Track lien waiver requirements: due dates, required parties, status (pending/received/released)","Component shows: waiver due dates, required parties, status; updates user when due; integrable with notifications",Phase 3,6,Medium,5,Not Started,,frontend
Compliance & Risk,Compliance Export,Implement Compliance PDF Export,"Generate audit-ready PDF with all flagged risks, explanations, state law references, mitigation recommendations","PDF includes: executive summary, all flags with severity, state law citations, mitigation matrix, audit trail",Phase 3,6,High,5,Not Started,,backend
Compliance & Risk,Risk Explanations,Build Claude-Powered Risk Explainer,"Use Claude to explain why each risk flag matters and suggest practical mitigation steps","For each flag: Claude generates 2-3 sentence explanation + concrete mitigation action; tone is advisory, not alarmist",Phase 3,6,Medium,5,Not Started,,ai
Dashboard & Multi-Project,Project Management,Build Project Dashboard,"Create project list view (create, view, delete, archive contracts/projects)","Users see project list; can create new; click to view contracts; delete/archive available; empty state helpful",Phase 4,7,High,5,Not Started,,frontend
Dashboard & Multi-Project,Project Management,Implement Project CRUD API,"API endpoints to create, read, update, delete projects; enforce user ownership via RLS",POST /api/projects (create); GET /api/projects (list); PATCH /api/projects/:id; DELETE /api/projects/:id,Phase 4,7,High,5,Not Started,,backend
Dashboard & Multi-Project,Project History,Implement Contract History Retrieval,"Query user's past contract analyses; show list with dates, contract names, status","History view lists: contract name, upload date, last modified, status, link to view results; sortable",Phase 4,7,Medium,3,Not Started,,frontend
Dashboard & Multi-Project,Project History,Build History API,"API endpoints to fetch user's contract history and past analyses with pagination",GET /api/contracts (list by user); GET /api/contracts/:id (retrieve); supports filter/sort/pagination,Phase 4,7,Medium,3,Not Started,,backend
Dashboard & Multi-Project,Organization,Add Favorites / Tagging,"Allow users to tag contracts (project, client, status) and mark as favorites for quick access","Tag management UI; tag-based filtering; favorites appear at top of list; tags stored and retrieved",Phase 4,8,Medium,3,Not Started,,frontend
Dashboard & Multi-Project,Results Summary,Build One-Page Results Summary,"Compact view with key terms, major risks, payment schedule at a glance","Summary shows: contract type, total value, payment method, retainage %, top 3 risks, next payment date",Phase 4,8,Medium,5,Not Started,,frontend
Dashboard & Multi-Project,Sharing Scaffolding,Implement Share Link Generation,"Generate shareable links (unauthenticated) to view contract results (read-only)","Share button generates unique link; link expires after 30 days; recipients can view but not edit; access logged",Phase 4,8,Medium,5,Not Started,,backend
Dashboard & Multi-Project,Sharing Scaffolding,Create Sharing Permissions UI,"UI for managing who can access a contract (team members, collaborators); scaffolding for future team features","Share modal lists: current sharing status, option to generate link, future: invite team members (scaffolded)",Phase 4,8,Low,3,Not Started,,frontend
Dashboard & Multi-Project,Polish & Testing,End-to-End Testing,"Test full flow: upload → extraction → preview → signup → schedule → export → dashboard","Smoke test all user flows; spot-check extraction quality; verify exports open correctly; mobile test",Phase 4,8,High,8,Not Started,,qa
Dashboard & Multi-Project,Polish & Testing,Performance Optimization,"Optimize page load times, API response times, and extraction latency; measure with Lighthouse/Core Web Vitals","Lighthouse score >90; API responses <500ms; extraction <10s for typical contract; image optimization",Phase 4,8,High,5,Not Started,,backend
Dashboard & Multi-Project,Polish & Testing,Error Handling & Observability,"Add error tracking (Sentry), logging, and user-facing error messages for all failure modes","Errors logged to Sentry; user gets helpful message (not stack trace); retries transparent; downtime notification",Phase 4,8,Medium,5,Not Started,,backend
Dashboard & Multi-Project,Deployment,Deploy to Vercel,"Configure Vercel deployment, set up env vars, preview environments, and CI/CD pipeline","App deployed to Vercel; preview deployments on PRs; main branch auto-deploys; build <60s",Phase 4,8,High,5,Not Started,,devops
Dashboard & Multi-Project,Deployment,Set Up Monitoring & Alerts,"Configure error tracking, performance monitoring, and alerts for production issues","Sentry alerts on errors; Vercel analytics monitoring; PagerDuty/email alerts for critical issues",Phase 4,8,Medium,3,Not Started,,devops
